"fl"	"size"	"TSF"
0	5.605802066	"two"
NA	NA	"two"
NA	NA	"two"
1	6.436150368	"two"
0	5.036952602	"two"
NA	NA	"two"
0	5.010635294	"two"
0	6.068425588	"two"
0	5.075173815	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.129898715	"two"
NA	NA	"two"
0	6.302618976	"two"
0	5.204006687	"two"
0	3.555348061	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	4.343805422	"two"
0	3.33220451	"two"
0	3.33220451	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.123963979	"two"
NA	NA	"two"
NA	NA	"two"
0	4.86753445	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	3.80666249	"two"
NA	NA	"two"
0	5.192956851	"two"
0	6.135564891	"two"
0	4.9698133	"two"
0	6.180016654	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	6.131226489	"two"
NA	NA	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	5.272999559	"two"
0	5.81711116	"two"
0	5.863631176	"two"
0	4.343805422	"two"
0	5.81711116	"two"
0	5.010635294	"two"
0	5.834810737	"two"
NA	NA	"two"
NA	NA	"two"
0	4.905274778	"two"
0	4.718498871	"two"
0	5.129898715	"two"
0	4.343805422	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.480638923	"two"
0	5.66296048	"two"
NA	NA	"two"
0	4.094344562	"two"
NA	NA	"two"
NA	NA	"two"
0	4.094344562	"two"
NA	NA	"two"
0	4.356708827	"two"
NA	NA	"two"
NA	NA	"two"
0	5.66296048	"two"
NA	NA	"two"
0	4.158883083	"two"
0	4.094344562	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	4.86753445	"two"
NA	NA	"two"
0	3.80666249	"two"
0	3.80666249	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	4.343805422	"two"
0	5.272999559	"two"
NA	NA	"two"
0	4.605170186	"two"
0	5.192956851	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	3.988984047	"two"
0	3.988984047	"two"
NA	NA	"two"
0	3.988984047	"two"
NA	NA	"two"
0	3.912023005	"two"
0	4.86753445	"two"
0	4.343805422	"two"
0	3.871201011	"two"
NA	NA	"two"
0	5.398162702	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.105945474	"two"
0	4.787491743	"two"
NA	NA	"two"
NA	NA	"two"
0	5.529429088	"two"
NA	NA	"two"
NA	NA	"two"
0	5.529429088	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	4.762173935	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	4.762173935	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	4.762173935	"two"
NA	NA	"two"
0	4.762173935	"two"
NA	NA	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	4.762173935	"two"
NA	NA	"two"
0	3.663561646	"two"
0	4.762173935	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	4.762173935	"two"
0	4.762173935	"two"
0	4.762173935	"two"
NA	NA	"two"
NA	NA	"two"
0	4.248495242	"two"
NA	NA	"two"
0	4.430816799	"two"
0	4.430816799	"two"
0	4.430816799	"two"
0	4.430816799	"two"
NA	NA	"two"
0	5.834810737	"two"
0	6.131226489	"two"
0	5.703782475	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.347107531	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.075173815	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	4.86753445	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.934894196	"two"
0	5.981414211	"two"
0	5.934894196	"two"
NA	NA	"two"
0	5.981414211	"two"
NA	NA	"two"
NA	NA	"two"
0	6.052089169	"two"
NA	NA	"two"
0	6.109247583	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.96870756	"two"
NA	NA	"two"
0	5.96870756	"two"
0	5.429345629	"two"
NA	NA	"two"
0	5.877735782	"two"
NA	NA	"two"
0	5.877735782	"two"
0	5.924255797	"two"
0	5.981414211	"two"
0	5.924255797	"two"
0	5.96870756	"two"
0	5.924255797	"two"
0	5.981414211	"two"
0	5.96870756	"two"
0	5.981414211	"two"
0	5.170483995	"two"
NA	NA	"two"
0	5.192956851	"two"
0	5.723585102	"two"
0	6.068425588	"two"
0	5.96870756	"two"
0	5.768320996	"two"
0	5.924255797	"two"
0	6.222576268	"two"
0	6.011267174	"two"
0	6.163314804	"two"
0	5.598421959	"two"
0	6.068425588	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.991464547	"two"
0	5.991464547	"two"
0	4.905274778	"two"
0	5.991464547	"two"
NA	NA	"two"
0	5.170483995	"two"
NA	NA	"two"
0	4.584967479	"two"
NA	NA	"two"
NA	NA	"two"
0	5.480638923	"two"
NA	NA	"two"
0	5.129898715	"two"
0	5.583496309	"two"
0	5.318119994	"two"
0	5.398162702	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.192956851	"two"
0	5.398162702	"two"
0	5.318119994	"two"
0	4.644390899	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.723585102	"two"
0	5.886104031	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	4.941642423	"two"
NA	NA	"two"
0	4.430816799	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	6.591673732	"two"
0	5.541263545	"two"
0	4.905274778	"two"
NA	NA	"two"
0	5.429345629	"two"
0	4.189654742	"two"
0	4.17438727	"two"
NA	NA	"two"
0	5.398162702	"two"
0	4.094344562	"two"
0	3.33220451	"two"
0	5.010635294	"two"
0	5.075173815	"two"
NA	NA	"two"
0	4.343805422	"two"
NA	NA	"two"
NA	NA	"two"
0	5.529429088	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.036952602	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.480638923	"two"
0	5.075173815	"two"
0	5.036952602	"two"
NA	NA	"two"
NA	NA	"two"
0	4.510859507	"two"
0	5.192956851	"two"
0	5.036952602	"two"
0	3.737669618	"two"
0	5.375278408	"two"
0	6.089044875	"two"
NA	NA	"two"
0	4.430816799	"two"
0	4.276666119	"two"
0	3.871201011	"two"
0	5.231108617	"two"
0	5.231108617	"two"
0	5.231108617	"two"
0	5.66296048	"two"
0	4.343805422	"two"
NA	NA	"two"
NA	NA	"two"
NA	NA	"two"
0	5.347107531	"two"
0	4.510859507	"two"
0	5.541263545	"two"
0	5.272999559	"two"
NA	NA	"two"
0	4.343805422	"two"
0	4.718498871	"two"
0	5.472270674	"two"
0	4.094344562	"two"
NA	NA	"two"
0	4.189654742	"two"
0	3.80666249	"two"
0	3.80666249	"two"
0	4.564348191	"two"
NA	NA	"two"
0	5.010635294	"two"
NA	NA	"two"
0	5.66296048	"two"
0	4.094344562	"two"
0	5.318119994	"two"
0	4.094344562	"two"
0	5.318119994	"two"
0	5.272999559	"two"
0	4.682131227	"two"
0	4.941642423	"two"
NA	NA	"two"
0	4.094344562	"two"
0	4.477336814	"two"
0	5.598421959	"two"
NA	NA	"two"
NA	NA	"two"
0	5.777652323	"two"
NA	NA	"two"
0	4.718498871	"two"
0	4.718498871	"two"
NA	NA	"two"
0	4.9698133	"two"
NA	NA	"two"
0	4.905274778	"two"
0	4.189654742	"two"
0	4.189654742	"two"
0	4.189654742	"two"
0	5.472270674	"two"
0	4.430816799	"two"
0	4.430816799	"two"
0	5.66296048	"two"
NA	NA	"two"
0	5.075173815	"two"
0	4.718498871	"two"
0	4.718498871	"two"
0	5.170483995	"two"
0	5.170483995	"two"
0	4.718498871	"two"
0	5.075173815	"two"
0	2.48490665	"two"
0	4.836281907	"two"
0	4.343805422	"two"
NA	NA	"two"
NA	NA	"two"
0	4.86753445	"two"
NA	NA	"two"
0	4.682131227	"two"
NA	NA	"two"
0	4.905274778	"two"
0	5.545177444	"two"
NA	NA	"two"
0	5.834810737	"two"
0	4.143134726	"two"
NA	NA	"two"
0	4.248495242	"two"
NA	NA	"two"
NA	NA	"two"
0	4.9698133	"two"
0	4.700480366	"two"
0	3.044522438	"two"
NA	NA	"two"
0	5.398162702	"two"
0	5.105945474	"two"
NA	NA	"two"
NA	NA	"two"
